City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Powell River,CA,49.8496,-124.5361,80.02,46,20,6.91,few clouds
172,Mago,RU,53.2514,140.1822,52.45,82,47,0.54,scattered clouds
173,Ucluelet,CA,48.9329,-125.5528,77.31,56,9,4.74,clear sky
174,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.19,26,4,1.66,clear sky
175,Luganville,VU,-15.5333,167.1667,79.99,82,24,13.06,few clouds
176,Aklavik,CA,68.2191,-135.0107,77.43,35,92,12.53,overcast clouds
177,Shubarshi,KZ,48.5872,57.1869,67.66,45,0,7.4,clear sky
178,Qena,EG,26.1615,32.7183,86.7,18,0,12.97,clear sky
179,Vila Velha,BR,-20.3297,-40.2925,71.55,75,75,8.05,broken clouds
180,Chumikan,RU,54.7183,135.315,52.27,82,14,4.92,few clouds
181,Tiksi,RU,71.6872,128.8694,33.19,80,8,8.39,clear sky
182,Juneau,US,58.3019,-134.4197,73.85,73,20,11.5,few clouds
183,Houma,US,29.5958,-90.7195,86.0,86,100,8.99,overcast clouds
184,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,66,100,16.51,overcast clouds
185,Port Hardy,CA,50.6996,-127.4199,59.18,82,75,6.91,broken clouds
186,Larnaca,CY,34.9167,33.6292,81.21,41,0,8.05,clear sky
187,Odessa,UA,46.4775,30.7326,72.86,59,99,8.21,overcast clouds
188,Soyo,AO,-6.1349,12.3689,70.99,89,3,7.74,clear sky
189,Necochea,AR,-38.5473,-58.7368,45.79,54,97,9.95,light rain
190,Cururupu,BR,-1.8283,-44.8683,75.15,90,94,2.91,overcast clouds
191,Dhidhdhoo,MV,6.8833,73.1,82.31,79,100,15.48,overcast clouds
192,Pangnirtung,CA,66.1451,-65.7125,39.2,93,100,8.05,light rain
193,San Policarpo,PH,12.1791,125.5072,79.43,89,100,12.88,overcast clouds
194,Eureka,US,40.8021,-124.1637,77.18,69,52,5.01,broken clouds
195,Zhezkazgan,KZ,47.8043,67.7144,75.15,58,1,9.95,clear sky
196,Tilichiki,RU,60.4667,166.1,54.88,73,22,2.75,few clouds
197,Vardo,NO,70.3705,31.1107,46.38,87,0,4.61,clear sky
198,Maunabo,PR,18.0072,-65.8993,89.29,76,9,12.93,clear sky
199,Cherskiy,RU,68.75,161.3,47.28,33,32,15.88,scattered clouds
200,Grand Gaube,MU,-20.0064,57.6608,66.6,69,2,3.0,clear sky
201,Kangaatsiaq,GL,68.3065,-53.4641,36.95,97,100,7.05,light rain
202,Raga,SS,8.4596,25.678,74.05,62,89,4.63,overcast clouds
203,Kamaishi,JP,39.2667,141.8833,71.42,87,84,6.26,light rain
204,Pemangkat,ID,1.1667,108.9667,77.04,88,100,3.44,overcast clouds
205,Launceston,AU,-41.45,147.1667,34.16,93,40,0.0,scattered clouds
206,Rocha,UY,-34.4833,-54.3333,45.82,71,100,5.88,light rain
207,Acarau,BR,-2.8856,-40.12,78.4,84,54,9.66,broken clouds
