City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Kyshtovka,RU,2022-06-19 18:20:19,56.555,76.6271,60.49,88,3,1.54
100,Lagoa,PT,2022-06-19 18:20:19,39.05,-27.9833,63.14,74,74,20.27
101,Thompson,CA,2022-06-19 18:16:27,55.7435,-97.8558,75.36,53,40,3.44
102,Lima,PE,2022-06-19 18:16:44,-12.0432,-77.0282,64.38,71,40,9.22
103,Rafai,CF,2022-06-19 18:20:20,4.95,23.9167,66.99,92,90,1.79
104,Vila Velha,BR,2022-06-19 18:20:21,-20.3297,-40.2925,73.35,85,75,12.66
105,Ponta Do Sol,PT,2022-06-19 18:20:21,32.6667,-17.1,72.72,71,94,9.42
106,Mitchell,US,2022-06-19 18:20:21,43.7094,-98.0298,94.1,49,0,17.27
107,Ngunguru,NZ,2022-06-19 18:20:22,-35.6167,174.5,57.43,79,100,26.78
108,Beidao,CN,2022-06-19 18:20:22,34.5686,105.8933,69.01,72,35,2.46
109,Kruisfontein,ZA,2022-06-19 18:20:22,-34.0033,24.7314,48.88,85,42,5.99
110,Pangnirtung,CA,2022-06-19 18:20:23,66.1451,-65.7125,46.4,71,20,20.71
111,Sinjar,IQ,2022-06-19 18:20:23,36.3209,41.8754,96.31,13,0,10.69
112,Khatanga,RU,2022-06-19 18:20:24,71.9667,102.5,44.82,57,6,5.41
113,Montepuez,MZ,2022-06-19 18:20:25,-13.1256,38.9997,64.11,58,1,4.25
114,Burnie,AU,2022-06-19 18:20:25,-41.0667,145.9167,54.64,88,100,16.78
115,Nishihara,JP,2022-06-19 18:20:25,26.1842,127.7558,79.68,94,93,10.36
116,La Rioja,ES,2022-06-19 18:20:26,42.25,-2.5,76.78,33,26,7.47
117,Masvingo,ZW,2022-06-19 18:20:26,-20.0637,30.8277,61.72,43,0,6.38
118,Turka,UA,2022-06-19 18:20:26,49.1541,23.0297,66.15,68,0,6.2
119,East London,ZA,2022-06-19 18:20:16,-33.0153,27.9116,58.14,77,0,9.22
120,Pevek,RU,2022-06-19 18:20:27,69.7008,170.3133,40.32,80,61,8.46
121,Caravelas,BR,2022-06-19 18:20:27,-17.7125,-39.2481,77.74,62,6,6.82
122,Chokwe,MZ,2022-06-19 18:20:28,-24.5333,32.9833,67.08,61,0,6.49
