City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Odessa,UA,72.86,overcast clouds,46.4775,30.7326,Londonskaya Hotel
188,Soyo,AO,70.99,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
190,Cururupu,BR,75.15,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
191,Dhidhdhoo,MV,82.31,overcast clouds,6.8833,73.1,Dhidhoo beach
193,San Policarpo,PH,79.43,overcast clouds,12.1791,125.5072,Agapita M. Nicart
194,Eureka,US,77.18,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
195,Zhezkazgan,KZ,75.15,clear sky,47.8043,67.7144,Hotel Zumrat
198,Maunabo,PR,89.29,clear sky,18.0072,-65.8993,Parador Maunacaribe
202,Raga,SS,74.05,overcast clouds,8.4596,25.678,
203,Kamaishi,JP,71.42,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
204,Pemangkat,ID,77.04,overcast clouds,1.1667,108.9667,Ramah Kost KITA
207,Acarau,BR,78.4,broken clouds,-2.8856,-40.12,castelo pizzaria
209,Honavar,IN,79.59,overcast clouds,14.2833,74.45,Hotel Sagar Residency
211,Gamboma,CG,77.36,scattered clouds,-1.8764,15.8644,Residence N'Keni
217,Vung Tau,VN,81.27,scattered clouds,10.346,107.0843,Seaside Resort
218,Laem Sing,TH,84.15,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
220,Parrita,CR,77.85,overcast clouds,9.5201,-84.3225,Beso del Viento
221,Havelock,US,87.98,broken clouds,34.8791,-76.9013,Sherwood Motel
225,Kavieng,PG,83.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
226,Zhanakorgan,KZ,86.72,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
227,Halifax,CA,76.89,clear sky,44.6453,-63.5724,Hotel Halifax
228,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
229,Linfen,CN,75.63,overcast clouds,36.0889,111.5189,Suoxing Hotel
231,Tual,ID,78.3,moderate rain,-5.6667,132.75,Grand Vilia Hotel
233,Lixourion,GR,77.36,clear sky,38.2019,20.4314,Hotel Summery
246,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
250,Meulaboh,ID,76.05,overcast clouds,4.1363,96.1285,Kost Pria
251,Chaohu,CN,82.98,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
252,Kankan,GN,74.71,moderate rain,10.3854,-9.3057,Hotel Bate
255,Kupang,ID,75.56,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
257,Purna,IN,77.95,overcast clouds,19.1833,77.05,हनुमान इंजिनिअरींग वर्कशॉप
